id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi.times,roi.currency,roi.percentage
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,49537.0,935594099473,1,1039775274319.0,27197212878.0,51320.0,48934.0,-1036.740816581885,-2.04996,-19570393832.388428,-2.0489,18895887.0,21000000.0,21000000.0,69045.0,-28.20672,2021-11-10T14:24:11.849Z,67.81,73001.66387,2013-07-06T00:00:00.000Z,,2021-12-09T09:12:19.468Z,-0.7983477579010724,-2.049963861422553,,,
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,4342.2,515839944720,2,,19867244282.0,4477.72,4251.02,-38.643363033978,-0.8821,-3522648045.546997,-0.67826,118665907.3115,,,4878.26,-10.83652,2021-11-10T14:24:19.604Z,0.432979,1004481.78688,2015-10-20T00:00:00.000Z,,2021-12-09T09:11:51.973Z,-0.40814944774935014,-0.8820979923038982,116.28755997361864,btc,11628.755997361865
binancecoin,bnb,Binance Coin,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,596.45,100376816652,3,100376816652.0,2320727839.0,614.66,570.44,7.9,1.34218,1456285515.0,1.47218,168137035.9,168137035.9,168137035.9,686.31,-12.9419,2021-05-10T07:24:17.097Z,0.0398177,1500452.54772,2017-10-19T00:00:00.000Z,,2021-12-09T09:11:08.923Z,-0.9348448154572295,1.3421752982224644,,,
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,0.999695,77326375352,4,,59740920471.0,1.01,0.993007,-0.00376977374,-0.37568,-47013020.20901489,-0.06076,77353290049.2203,77353290049.2203,,1.32,-24.46273,2018-07-24T00:00:00.000Z,0.572521,74.56654,2015-03-02T00:00:00.000Z,,2021-12-09T09:13:54.103Z,0.15600641472904403,-0.3756757116490745,,,
solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/Solana.jpg?1635329178,188.65,58014625167,5,,1896628667.0,196.21,184.29,-2.102810470689,-1.10237,-427623169.5659027,-0.7317,307347720.399033,508180963.57,,259.96,-27.33544,2021-11-06T21:54:35.825Z,0.500801,37619.20819,2020-05-11T19:35:23.449Z,,2021-12-09T09:14:41.542Z,-0.4545750740709048,-1.1023698058033709,,,
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,1.37,43837084940,6,61518268230.0,1429834031.0,1.42,1.35,-0.027590069863,-1.97915,-838199376.2027817,-1.8762,32066390668.4135,45000000000.0,45000000000.0,3.09,-55.68243,2021-09-02T06:00:10.474Z,0.01925275,7005.70874,2020-03-13T02:22:55.044Z,,2021-12-09T09:12:18.757Z,-0.37919453273895215,-1.9791490283260702,,,
usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,0.997949,40935190896,7,,3442965557.0,1.01,0.988146,-0.003491308442,-0.34863,-132760859.54045105,-0.32327,41015153296.9339,41055438337.4163,,1.17,-14.85592,2019-05-08T00:40:28.300Z,0.891848,11.95741,2021-05-19T13:14:05.611Z,,2021-12-09T09:12:26.624Z,0.3174919575793017,-0.3486286597620296,,,
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.848656,40202990684,8,85090564506.0,3611240575.0,0.88133,0.807326,0.01133058,1.35319,666986250.0,1.68704,47247295769.0,100000000000.0,100000000000.0,3.4,-74.93597,2018-01-07T00:00:00.000Z,0.00268621,31609.71841,2014-05-22T00:00:00.000Z,,2021-12-09T09:12:45.185Z,-0.5662877855433667,1.3531877517854753,,,
polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/aJGBjJFU_400x400.jpg?1597804776,28.69,30524082502,9,,1093656825.0,30.08,28.11,-0.740257656756,-2.51554,-750894374.0611229,-2.40094,1063314210.76381,1144263343.68511,,54.98,-47.77827,2021-11-04T14:10:09.301Z,2.7,964.40987,2020-08-20T05:48:11.359Z,,2021-12-09T09:11:56.435Z,0.15208256867717274,-2.5155388081649193,,,
terra-luna,luna,Terra,https://assets.coingecko.com/coins/images/8284/large/luna1557227471663.png?1567147072,75.3,28712334701,10,75506984275.0,3127439490.0,76.23,65.35,7.35,10.81046,2735666245.0,10.53124,380260647.103698,853327167.635877,1000000000.0,77.73,-2.97192,2021-12-05T09:49:05.708Z,0.121798,61822.24111,2020-03-18T17:03:01.083Z,,2021-12-09T09:14:35.947Z,-0.13334512876008983,10.810458011360094,,,
